"Code" "Site" "Location" "River" "Date" "H" "Na" "K" "Mg" "Ca" "Sr" "Ba" "NH4" "Cl" "NO3" "PO4" "SO4" "HCO3" "TOC"
"1"  9535612  95 "Anoia" "Anoia" "01.07.1997" 7.943282e-09  159.000   6.3180  92.410 279.10  8.58366 0.049900 2.234134e-01  345.956092  16.9657789  0.40143000  730.60139 349.5047  3.022
"2"  9535643  95 "Anoia" "Anoia" "01.08.1997" 5.011872e-09  179.200   6.4490  96.200 300.30  7.29700 0.054983 2.694842e-02  280.273471   8.6478277  0.52187749  773.23360 314.6050  3.039
"3"  9535674  95 "Anoia" "Anoia" "01.09.1997" 7.943282e-09  186.000   5.9780  96.830 305.10  7.34100 0.057367 7.923994e-02  300.257222  11.3942817  0.50849602  884.53922 342.4435  3.196
"4"  9535704  95 "Anoia" "Anoia" "01.10.1997" 6.165950e-09  181.100   5.1710  88.580 343.40  7.63000 0.059473 2.231826e-02  297.926923  11.2935163  0.40144423  757.78489 335.2200  3.871
"5"  9535735  95 "Anoia" "Anoia" "01.11.1997" 1.202264e-08  151.000   7.3710  84.900 369.00  8.24600 0.053410 4.639883e-01  229.261855   9.5476159  0.44158865  616.29879 308.6500  3.400
"6"  9535765  95 "Anoia" "Anoia" "01.12.1997" 1.028016e-08  170.100   6.4750  89.820 337.60  7.57200 0.050168 9.921348e-02  267.879980  13.2536926  0.69583666  881.17945 334.1700  3.625
"7"  9535796  95 "Anoia" "Anoia" "01.01.1998" 1.148154e-09  119.900   4.1330  82.880 337.60  5.97400 0.047387 1.385930e-01  197.429095  16.1901065  0.70921813  857.98557 348.3900  3.501
"8"  9535827  95 "Anoia" "Anoia" "01.02.1998" 8.709636e-09  120.800   6.0350  83.770 265.00  6.45900 0.043533 1.815485e-01  156.042531  18.8317927  0.80288845  727.81144 181.6000  3.167
"9"  9535855  95 "Anoia" "Anoia" "01.03.1998" 6.760830e-09  145.000   5.7800  89.250 269.50  7.38500 0.044600 7.415189e-02  203.229560  17.5858567  0.50849602  648.87336 327.2000  3.822
"10"  9535886  95 "Anoia" "Anoia" "01.04.1998" 6.918310e-09  160.100   5.3660  86.620 274.80  7.19000 0.041100 6.711543e-02  253.081923  10.6645646  0.49511454  883.92219 284.2000  3.432
"11"  9535916  95 "Anoia" "Anoia" "01.05.1998" 6.606934e-09  199.260   4.7800  92.500 286.00  6.85000 0.035061 1.977995e-01  313.610467   7.0972125  0.53525897  696.43594 319.9000  2.127
"12"  9535947  95 "Anoia" "Anoia" "01.06.1998" 1.122018e-08  310.000   5.7820  99.780 330.80  7.57400 0.044898 1.099011e-01  511.223298   5.8989953  0.24086654 1002.27013 314.7000  2.577
"13"  9535977  95 "Anoia" "Anoia" "01.07.1998" 8.317638e-09  323.400   5.9740 100.200 334.00  7.62600 0.043052 8.890524e-02  559.578487   6.9411800  0.97684762 1004.66090 317.6000  3.070
"14"  9536008  95 "Anoia" "Anoia" "01.08.1998" 1.348963e-08  359.400   8.2840 102.740 348.20  8.07400 0.042958 4.662276e-01  658.851315   5.4594320  0.21410359 1048.76273 305.1000  3.851
"15"  9536069  95 "Anoia" "Anoia" "01.10.1998" 1.122018e-08  470.550   8.9350 120.700 441.50 10.39000 0.041396 4.611461e-01  770.840205   4.4380942  0.22748506 1260.14332 340.0000  2.816
"16"  9536100  95 "Anoia" "Anoia" "01.11.1998" 1.698244e-08  450.200   8.5840 119.620 424.00  9.89500 0.040701 1.325885e+00  720.516255   5.7836901  0.24086654 1196.14213 341.2000  2.528
"17"  9536130  95 "Anoia" "Anoia" "01.12.1998" 1.513561e-08  327.200   7.4080 109.080 380.00  8.96400 0.037621 2.341357e-01  630.363490   0.7010510  0.40144423 1359.73860 330.3000  3.353
"18"  9536161  95 "Anoia" "Anoia" "01.01.1999" 1.000000e-08  303.000   7.5340 113.720 372.20  8.17400 0.033665 7.269069e-01   90.927881  39.1897836  0.26762948 1575.11181 280.8000  2.068
"19"   335612   3 "Anoia" "Anoia" "01.07.1997" 1.000000e-08  552.700  52.6300  90.910 249.20  7.38228 0.054480 1.185911e+00 1065.212292  28.5243484  1.51205300  983.55892 377.2923 16.920
"20"   335643   3 "Anoia" "Anoia" "01.08.1997" 7.943282e-09  341.000  21.0800  91.410 328.20  7.38800 0.088661 4.176305e-01  653.965368  10.3997279  4.30883469  707.13347 327.0002  8.962
"21"   335674   3 "Anoia" "Anoia" "01.09.1997" 1.000000e-08  484.900  37.3700  88.940 290.80  5.68800 0.078672 7.648282e-01  687.453013  19.0528675  5.41949704  734.63357 383.3376 12.300
"22"   335704   3 "Anoia" "Anoia" "01.10.1997" 4.897788e-09  829.000  47.8500  85.460 224.70  4.76900 0.055571 1.176058e-01  946.437085  13.3467667  4.67013449  841.02021 384.8000 16.710
"23"   335765   3 "Anoia" "Anoia" "01.12.1997" 1.066596e-08  781.400  42.2500  84.270 260.30  5.49100 0.068100 1.622676e+01  997.233576   7.6804189  3.06435759  816.04068 496.4200 28.770
"24"   335796   3 "Anoia" "Anoia" "01.01.1998" 3.019952e-09  409.600  19.4100  78.030 220.30  5.31100 0.043334 4.507775e-01  563.592144  28.1783097  1.98045818  696.75015 396.2100 14.370
"25"   335827   3 "Anoia" "Anoia" "01.02.1998" 3.467369e-08  687.700  46.4000  83.590 243.70  5.34000 0.047916 2.650745e+01  682.425877  13.4772972  0.21410359  714.46706 537.1000 16.430
"26"   335855   3 "Anoia" "Anoia" "01.03.1998" 1.288250e-08  667.400  41.4100  85.240 238.30  5.68100 0.053300 4.025396e+01  752.144698   2.7934845  1.08389941  821.72771 601.9000 23.920
"27"   335886   3 "Anoia" "Anoia" "01.04.1998" 4.073803e-08  603.390  33.8600  85.330 247.30  6.11800 0.054400 4.378740e+01  785.205059   3.1331078  2.00722113  724.33322 553.5000 32.440
"28"   335916   3 "Anoia" "Anoia" "01.05.1998" 3.162278e-08  781.500  43.7550  94.350 253.50  5.58000 0.058973 6.528356e+01 1052.747242   0.7839400  0.29439243  897.57085 583.1000 28.780
"29"   335947   3 "Anoia" "Anoia" "01.06.1998" 1.071519e-08  956.500  51.3000  72.500 185.80  3.52750 0.053645 1.008462e+02 1174.207559   0.2965360  8.44371021  817.39207 636.6000 35.230
"30"   335977   3 "Anoia" "Anoia" "01.07.1998" 8.912509e-09 1121.500  61.7000  75.200 180.20  3.51500 0.044399 9.652319e+01 1341.293976   0.6445336 14.85343634  903.96085 733.9000 26.170
"31"   336008   3 "Anoia" "Anoia" "01.08.1998" 3.235937e-08  124.600  14.5000  40.370 132.60  2.88800 0.102136 5.308077e+00  175.343143  12.7559184 13.50190745  348.69504 239.7000 13.180
"32"   336039   3 "Anoia" "Anoia" "01.09.1998" 1.995262e-08  960.000  40.4100  66.050 170.40  3.24100 0.030375 1.366459e+00 1094.354834  33.7775736 10.70517934  727.39374 448.5000 32.210
"33"   336069   3 "Anoia" "Anoia" "01.10.1998" 1.698244e-08  860.500  37.5750  69.900 207.60  4.05500 0.041324 5.372291e+00  972.590234  28.0004908 10.89251998  790.70031 392.9000 26.220
"34"   336100   3 "Anoia" "Anoia" "01.11.1998" 3.801894e-08  972.000  46.4450  74.400 228.35  4.41750 0.156735 9.703997e+00 1225.019554  40.9909366  8.16269925  837.54350 370.9000 28.000
"35"   336130   3 "Anoia" "Anoia" "01.12.1998" 2.398833e-08  559.500  27.8800  78.100 249.40  5.50500 0.131043 4.688821e+00 1168.184684 136.2887664  3.74681277 1140.95832 431.3000 17.260
"36"   336161   3 "Anoia" "Anoia" "01.01.1999" 3.981072e-08  714.000  30.1400  87.100 220.70  4.93650 0.025669 2.697203e+00 1009.163010   9.4727552  0.13381474 1163.65226 440.0000 22.720
"37"   336251   3 "Anoia" "Anoia" "01.04.1999" 1.655770e-08  840.000  39.6700  80.520 250.90  4.52800 0.033671 1.484516e+01 1083.636118  12.8123863 11.77569728  889.80061 452.7000 24.690
"38"   336373   3 "Anoia" "Anoia" "01.08.1999" 2.233572e-08  361.400  30.7000  56.420 157.90  3.11200 0.031289 1.595884e+00  404.199258  58.0712631 33.45368545  320.51444 403.8000 12.070
"39"   435612   4 "Anoia" "Anoia" "01.07.1997" 6.309573e-09  174.400  14.4100  60.660 194.40  3.83256 0.055920 3.032596e-01  254.674768   2.5539770  0.69581200  442.88048 344.3231  7.499
"40"   435643   4 "Anoia" "Anoia" "01.08.1997" 6.309573e-09  137.100  10.1700  61.750 204.00  3.52500 0.082528 2.142122e-01  211.992357   4.4526303  0.99022909  439.96395 324.8158  4.375
"41"   435674   4 "Anoia" "Anoia" "01.09.1997" 7.943282e-09  202.300  17.1400  61.510 210.40  3.43500 0.076750 1.436372e-01  285.632919   4.6690803  0.64231076  498.43990 401.1176  9.543
"42"   435704   4 "Anoia" "Anoia" "01.10.1997" 5.495409e-09  277.800  19.0900  69.730 264.60  3.91300 0.078672 1.586142e-01  350.946055   6.5240569  0.69583666  554.97270 370.9100  9.809
"43"   435765   4 "Anoia" "Anoia" "01.12.1997" 6.397348e-09  255.700  14.8200  66.200 253.80  3.87600 0.073518 1.231959e-02  317.816678   0.7405522  0.65569223  524.35040 436.5300 12.720
"44"   435796   4 "Anoia" "Anoia" "01.01.1998" 2.754229e-09  191.300   9.8130  58.430 190.60  3.60800 0.058406 5.454927e-01  277.371185   8.4895518  1.12404383  616.08445 375.7800  8.438
"45"   435827   4 "Anoia" "Anoia" "01.02.1998" 1.737801e-08  252.800  14.5800  60.220 202.90  3.80500 0.062218 4.554273e+00  221.766108   9.7438603  0.38806275  504.83086 398.2000  8.440
"46"   435855   4 "Anoia" "Anoia" "01.03.1998" 1.348963e-08  253.700  15.2800  62.590 209.50  3.84000 0.055400 8.658197e+00  288.286829   8.6171618  0.58878486  381.73338 416.1000 11.370
"47"   435886   4 "Anoia" "Anoia" "01.04.1998" 3.981072e-08  213.300  13.6200  61.670 211.40  3.78100 0.056400 1.219840e+01  310.163748   3.4195990  1.16418825  561.49825 423.3000  9.715
"48"   435916   4 "Anoia" "Anoia" "01.05.1998" 7.244360e-08  315.800  18.5440  64.000 208.40  3.64200 0.056165 1.530539e+01  392.734498   3.7483984  1.17756973  562.96121 349.9000 11.060
"49"   435947   4 "Anoia" "Anoia" "01.06.1998" 1.071519e-08  283.400  15.7660  57.900 189.64  3.05800 0.062552 1.178327e+01  386.277183  11.8614465  1.00361056  519.24208 390.3000 12.450
"50"   435977   4 "Anoia" "Anoia" "01.07.1998" 6.760830e-08  332.000  17.8540  61.880 197.36  3.33200 0.069084 1.146688e+01  399.958850  12.4535725  0.99022909  509.70837 380.9000  9.682
"51"   436008   4 "Anoia" "Anoia" "01.08.1998" 5.495409e-08   96.030  10.5600  36.590 143.90  2.69800 0.061134 1.483610e+00  134.780646  10.3828549  1.94031376  374.81391 250.9000  9.286
